"Ad Set Name",Day,"Ad Set ID","Delivery Status","Delivery Level","Relevance Score","Campaign Name","CPM (Cost per 1,000 Impressions)",Reach,Impressions,"CTR (Link Click-Through Rate)","CPC (Cost per Link Click)","Amount Spent (USD)","Result Type","Cost per Result","Landing Page Views","Adds to Cart","Website Adds to Cart","Checkouts Initiated","Website Checkouts Initiated","Adds of Payment Info","Website Adds of Payment Info","Link Clicks","Website Purchases","Website Purchases Conversion Value","Website Purchase ROAS (Return on Ad Spend)","Reporting Starts","Reporting Ends"
"EU1_indie1%_1119 - aha1110",2018-11-24,23843051908480116,inactive,adset,,ERL2-shopify-test-1019,8.75452571,1350,1381,4.3446777697321,0.2015,12.09,"Website Purchases",,52,10,10,8,8,,,60,,,,2018-11-24,2018-11-24
"US_ERLpayment1%_1030-land2 - Copy",2018-11-12,23843013968220116,inactive,adset,,ERL2-shopify-1029-Lookalike1%-test,22.85171103,515,526,3.4220532319392,0.66777778,12.02,"Website Purchases",,15,,,,,,,18,,,,2018-11-12,2018-11-12
"US_sportEquip_1201 - ahaold-newpic",2018-12-01,23843067857640116,inactive,adset,,ERL2-shopify-1201-sportEquitTest,18.61417323,635,635,2.2047244094488,0.84428571,11.82,"Website Purchases",,10,1,1,,,,,14,,,,2018-12-01,2018-12-01
"SG_sportEquip_1201 - ahaold-newpic",2018-12-01,23843067857650116,inactive,adset,,ERL2-shopify-1201-sportEquitTest,6.35142397,1723,1861,1.3433637829124,0.4728,11.82,"Website Purchases",,24,4,4,4,4,1,1,25,,,,2018-12-01,2018-12-01
"EUgood_indie2%_1127 - aha1 - Copy",2018-11-29,23843062694690116,inactive,adset,,ERL2-shopify-1123-EUbasicopy,8.08087731,1436,1459,3.3584647018506,0.24061224,11.79,"Website Purchases",,43,3,3,2,2,,,49,,,,2018-11-29,2018-11-29
"US_sportEquip_1201 - aha-newpic",2018-12-01,23843067860710116,inactive,adset,,ERL2-shopify-1201-sportEquitTest,17.76772247,663,663,1.8099547511312,0.98166667,11.78,"Website Purchases",,8,,,,,,,12,,,,2018-12-01,2018-12-01
"US_indie1%_1101 - land2 - Copy 22",2018-11-12,23843018643190116,inactive,adset,,ERL2-shopify-1023-USbasicopy,16.68091168,683,702,3.1339031339031,0.53227273,11.71,"Website Purchases",,19,,,,,,,22,,,,2018-11-12,2018-11-12
"SG_earlyadopter_1125 - ahaold",2018-12-04,23843059982370116,inactive,adset,,ERL2-shopify-1125-newTest,7.9739011,1336,1456,1.3049450549451,0.61105263,11.61,"Website Purchases",,20,7,7,3,3,,,19,,,,2018-12-04,2018-12-04
"SG_shopping_1125 - ahaold -newpic",2018-11-28,23843059979810116,inactive,adset,,ERL2-shopify-1125-newTest,10.09700176,1090,1134,1.4109347442681,0.715625,11.45,"Website Purchases",,11,2,2,1,1,,,16,,,,2018-11-28,2018-11-28
"EUgood_indie1%_1123 - aha1 - Copy1",2018-11-23,23843056676460116,inactive,adset,,ERL2-shopify-1123-EUbasicopy,9.90063234,1075,1107,3.0713640469738,0.32235294,10.96,"Website Purchases",,28,2,2,,,,,34,,,,2018-11-23,2018-11-23
