Ad Set Bid Strategy	Ad Set Daily Budget	Ad Set ID	Ad Set Name	Age Max	Age Min	Bid Amount	Countries	Custom Audiences	Gender	Flexible Inclusions	Product 1 - Link	Image	Video File Name
		c:23843071933880116	US_indie1%_only_1204-24-55	55	24		US	23842998539940116:Lookalike (US 1%) - ERLindiegogo1016exact			https://geterl.com/products/erl2-0-features
		c:23843071813880116	SG_AdoptersXSports_1204-24-55	55	24		SG			"[{""behaviors"":[{""id"":""6003808923172"",""name"":""Technology early adopters""}]},{""interests"":[{""id"":""6002992069973"",""name"":""Sports equipment""},{""id"":""6003545471303"",""name"":""Sportswear (activewear)""}]}]"	https://geterl.com/products/erl2-feature-and-new
Lowest Cost	20	c:23843070503560116	US_ERLadct30d-1%Noover_1203-aha	50	18		US	23843065421020116:Lookalike (US 1%) - ERL_AddtoCart_30d			https://geterl.com/products/erl2-0-features
		c:23843071895290116	EUgood_topvisit1%_only_1204-24-55	55	24		IT, NL, ES, SE, GB, FI, DK, HU, DE	23843070111560116:Lookalike (Europe 1%) - ERL_visitors25%_30d			https://geterl.com/products/erl2-0-features
Lowest Cost	20	c:23843062733180116	SG_earlyadopter_1127 - ahaold - Copy	50	18		SG			"[{""behaviors"":[{""id"":""6003808923172"",""name"":""Technology early adopters""}]}]"	https://geterl.com/products/erl2-feature-and-new
		c:23843071813370116	SG_AdoptersOnly_1204-24-55	55	24		SG			"[{""behaviors"":[{""id"":""6003808923172"",""name"":""Technology early adopters""}]}]"	https://geterl.com/products/erl2-feature-and-new
Lowest Cost	20	c:23843070500090116	US_ERLpurchase3%Noover_1203-aha	50	18		US	23843051910170116:Lookalike (US 3%) - ERL_purchase_1016			https://geterl.com/products/erl2-0-features
		c:23843071809040116	SG_headphoneOnly_1204-24-55	55	24		SG			"[{""interests"":[{""id"":""6003717851560"",""name"":""Headphones""},{""id"":""6005989447579"",""name"":""Headset (audio)""}]}]"	https://geterl.com/products/erl2-feature-and-new
Lowest Cost	20	c:23842995495230116	SG_shopping_1019 - aha1110	55	45		SG			"[{""interests"":[{""id"":""6003717851560"",""name"":""Headphones""},{""id"":""6005989447579"",""name"":""Headset (audio)""}]}]"	https://geterl.com/products/erl2-0-features
Lowest Cost	20	c:23843067860710116	US_sportEquip_1201 - aha-newpic	50	18		US			"[{""interests"":[{""id"":""6002992069973"",""name"":""Sports equipment""},{""id"":""6003545471303"",""name"":""Sportswear (activewear)""}]}]"	https://geterl.com/products/erl2-0-features
Lowest Cost	30	c:23843063371620116	ID_indiegogo1%_engaged_1128-earpic	50	18		ID	23843012006830116:Lookalike (ID 1%) - ERLindiegogo1016exact		"[{""interests"":[{""id"":""6003717851560"",""name"":""Headphones""},{""id"":""6005989447579"",""name"":""Headset (audio)""}]},{""behaviors"":[{""id"":""6002764392172"",""name"":""Facebook Payments users (90 days)""},{""id"":""6004948896772"",""name"":""Facebook Payments users (higher than average spend)""},{""id"":""6004948896972"",""name"":""Facebook Payments users (30 days)""},{""id"":""6071631541183"",""name"":""Engaged Shoppers""}]}]"	https://geterl.com/products/erl2-0-features
Lowest Cost	30	c:23843063371620116	ID_indiegogo1%_engaged_1128-earpic	50	18		ID	23843012006830116:Lookalike (ID 1%) - ERLindiegogo1016exact		"[{""interests"":[{""id"":""6003717851560"",""name"":""Headphones""},{""id"":""6005989447579"",""name"":""Headset (audio)""}]},{""behaviors"":[{""id"":""6002764392172"",""name"":""Facebook Payments users (90 days)""},{""id"":""6004948896772"",""name"":""Facebook Payments users (higher than average spend)""},{""id"":""6004948896972"",""name"":""Facebook Payments users (30 days)""},{""id"":""6071631541183"",""name"":""Engaged Shoppers""}]}]"	https://geterl.com/products/erl2-feature-and-new
Lowest Cost	30	c:23843041171310116	SG_shopping_1113 - ahaold - Copy 4	50	18		SG			"[{""interests"":[{""id"":""6003717851560"",""name"":""Headphones""},{""id"":""6005989447579"",""name"":""Headset (audio)""}]},{""interests"":[{""id"":""6003346592981"",""name"":""Online shopping""}]}]"	https://geterl.com/products/erl2-feature-and-new
