"Reporting Starts","Reporting Ends","Ad Set Name","Ad Set ID",Impressions,"CPM (Cost per 1,000 Impressions) (USD)","CTR (Link Click-Through Rate)","Link Clicks","CPC (Cost per Link Click) (USD)","Landing Page Views",Budget,"Budget Type","Amount Spent (USD)","Website Purchases","Cost per Purchase (USD)","Website Purchase ROAS (Return on Ad Spend)","Website Purchases Conversion Value"
2018-02-27,2018-02-27,Allbackers_otherEU_0226-local1-2%,23842722116930761,1068,11.32958801,0.187265917603,2,6.05,1,40,Daily,12.1,,,,
2018-02-27,2018-02-27,UAE_engaged_0130,23842704929160761,3,13.33333333,,,,,30,Daily,0.04,,,,
2018-02-27,2018-02-27,"UK_3T_0224_allbackers5% - HvsW",23842720393720761,3733,10.24377177,1.071524243236,40,0.956,33,75,Daily,38.24,1,38.24,2.56276151,98
2018-02-27,2018-02-27,"Surveyemail_TH_0216 - eastasia3%",23842714812640761,16922,2.61848481,0.42548162155774,72,0.61541667,46,40,Daily,44.31,1,44.31,1.10584518,49
2018-02-27,2018-02-27,"ES_3T_0226_ERLADCT5% - Copy",23842721157750761,1997,7.26589885,0.80120180270406,16,0.906875,14,30,Daily,14.51,,,,
2018-02-27,2018-02-27,"Asia_ADDCARTLAL_1230_0208 exJP",23842722060280761,1093,9.56084172,,,,,30,Daily,10.45,,,,
2018-02-27,2018-02-27,UAE_IDKS_0130,23842714810720761,1122,4.86631016,0.98039215686275,11,0.49636364,9,40,Daily,5.46,,,,
2018-02-27,2018-02-27,UK_3T_0226_vinci2%_MB_android,23842721150310761,2441,8.99631299,1.1880376894715,29,0.75724138,23,40,Daily,21.96,,,,
2018-02-27,2018-02-27,"otherEU_3T_0226_ Copy",23842721157730761,2728,7.00146628,0.76979472140762,21,0.90952381,19,40,Daily,19.1,,,,
2018-02-27,2018-02-27,"Surveryemail_TH_0226-dingshi - asia1%",23842721240250761,3675,3.36054422,0.51700680272109,19,0.65,15,350,Lifetime,12.35,,,,
2018-02-27,2018-02-27,AllBackers3%_AUS_0224,23842721365390761,2257,14.98892335,0.84182543198937,19,1.78052632,19,40,Daily,33.83,1,33.83,1.44841856,49
2018-02-27,2018-02-27,Israel_OldADCT_IDKS_0216,23842713865260761,10,22,,,,,40,Daily,0.22,,,,
2018-02-27,2018-02-27,"UK_3T_0226_vinci2%_MB_android - dingshi",23842721194070761,1106,9.43942134,0.72332730560579,8,1.305,8,400,Lifetime,10.44,,,,
2018-02-27,2018-02-27,"otherEU_3T_0225_ HvsW - Copy",23842720708030761,3091,6.12423164,1.0029116790683,31,0.61064516,27,40,Daily,18.93,,,,
2018-02-27,2018-02-27,"otherEU_3T_0226_ERLADCT5% - dingshi",23842721194090761,921,10.77090119,1.3029315960912,12,0.82666667,8,400,Lifetime,9.92,,,,
2018-02-27,2018-02-27,OtherEU_ERLPurchase_60_0207,23842722059800761,1266,8.28593997,0.71090047393365,9,1.16555556,8,30,Daily,10.49,,,,
2018-02-27,2018-02-27,"otherEU_3T_0226_ Copy",23842721157710761,4765,8.13011542,0.58761804826863,28,1.38357143,23,40,Daily,38.74,1,38.74,1.26484254,49
2018-02-27,2018-02-27,"Surveryemail_MY_0226-dingshi 2",23842721240340761,6234,3.09271736,0.60956047481553,38,0.50736842,27,350,Lifetime,19.28,,,,
2018-02-27,2018-02-27,"AllBackers_EU_0226_WW1% - Copy",23842722117030761,2200,5.68181818,0.95454545454545,21,0.5952381,15,40,Daily,12.5,,,,
2018-02-27,2018-02-27,"otherEU_3T_0226_ dingshi - dingshi",23842721194100761,1330,7.21052632,0.75187969924812,10,0.959,10,400,Lifetime,9.59,,,,
2018-02-27,2018-02-27,"Surveryemail_PH_0226-dingshi 2",23842721240330761,10324,1.72704378,0.59085625726463,61,0.29229508,31,350,Lifetime,17.83,,,,
2018-02-27,2018-02-27,"US_ERLPurchase_0101_006  2",23842722059790761,639,18.02816901,0.46948356807512,3,3.84,3,60,Daily,11.52,,,,
2018-02-27,2018-02-27,"DE_3T_0226_ dingshi - dingshi",23842721194020761,718,13.5097493,0.69637883008357,5,1.94,4,400,Lifetime,9.7,,,,
2018-02-27,2018-02-27,IT_3T_0226_ERLADCT5%,23842721150290761,3579,4.5291981,0.7264599050014,26,0.62346154,23,40,Daily,16.21,,,,
2018-02-27,2018-02-27,AllBackers2%_3Tonline_UK_0223_desktop,23842722117020761,655,13.90839695,0.61068702290076,4,2.2775,2,30,Daily,9.11,,,,
2018-02-27,2018-02-27,DE_3T_0226_,23842721150280761,1783,10.05608525,0.95344924284913,17,1.05470588,14,40,Daily,17.93,,,,
