"Reporting Starts","Reporting Ends","Ad Set Name","Ad Set ID",Impressions,"CPM (Cost per 1,000 Impressions) (USD)","CTR (Link Click-Through Rate)","CPC (Cost per Link Click) (USD)","Link Clicks","Landing Page Views",Budget,"Budget Type","Amount Spent (USD)","Website Purchases","Cost per Purchase (USD)","Website Purchases Conversion Value","Website Purchase ROAS (Return on Ad Spend)"
2018-03-09,2018-03-09,Latin_onlineshopping_0219,23842725063090055,18582,1.61984716,0.97406091916909,0.16629834254144,181,136,30,Daily,30.1,1,30.1,49,1.62790698
2018-03-09,2018-03-09,US_Survey2%_0109_xin,23842724983090055,1769,16.77218768,1.4697569248163,1.1411538461538,26,24,30,Daily,29.67,1,29.67,49,1.65149983
2018-03-09,2018-03-09,"EU_ADDCARTLAL_1228 - 49",23842725694480055,3402,8.70076426,0.85243974132863,1.0206896551724,29,25,30,Daily,29.6,1,29.6,49,1.65540541
2018-03-08,2018-03-08,US_Survey2%_0109_xin,23842724983090055,1819,16.5475536,1.5393073117097,1.075,28,25,30,Daily,30.1,1,30.1,49,1.62790698
2018-03-08,2018-03-08,"EU_ADDCARTLAL_1228 - 49",23842725694480055,3472,8.68087558,1.065668202765,0.81459459459459,37,27,30,Daily,30.14,1,30.14,49,1.62574652
2018-03-08,2018-03-08,Latin_onlineshopping_0219,23842725063090055,20191,1.53434699,1.0252092516468,0.14966183574879,207,143,30,Daily,30.98,1,30.98,49,1.58166559
2018-03-08,2018-03-08,"AU_onlineshopping_0226 - 2",23842724296480055,3266,9.37538273,1.1941212492345,0.78512820512821,39,38,30,Daily,30.62,,,,
2018-03-07,2018-03-07,US_Survey2%_0109_xin,23842724983090055,2064,14.94670543,1.453488372093,1.0283333333333,30,27,30,Daily,30.85,1,30.85,49,1.58833063
2018-03-07,2018-03-07,"AU_onlineshopping_0226 - 2",23842724296480055,3219,9.49673812,1.6464740602672,0.57679245283019,53,43,30,Daily,30.57,3,10.19,147,4.80863592
2018-03-07,2018-03-07,Latin_onlineshopping_0219,23842725063090055,22774,1.30763151,0.90454026521472,0.14456310679612,206,149,30,Daily,29.78,,,,
2018-03-07,2018-03-07,"EU_ADDCARTLAL_1228 - 49",23842725694480055,3348,9.15770609,0.89605734767025,1.022,30,27,30,Daily,30.66,2,15.33,98,3.19634703
2018-03-06,2018-03-06,"AU_onlineshopping_0226 - 2",23842724296480055,3141,9.4078319,1.2734797835084,0.73875,40,35,30,Daily,29.55,,,,
2018-03-06,2018-03-06,"EU_ADDCARTLAL_1228 - 49",23842725694480055,3680,8.14673913,0.625,1.3034782608696,23,19,30,Daily,29.98,,,,
2018-03-06,2018-03-06,Latin_onlineshopping_0219,23842725063090055,25974,1.11342111,1.027951027951,0.10831460674157,267,192,30,Daily,28.92,,,,
2018-03-06,2018-03-06,US_Survey2%_0109_xin,23842724983090055,2137,14.03837155,1.684604585868,0.83333333333333,36,30,30,Daily,30,,,,
2018-03-05,2018-03-05,Latin_onlineshopping_0219,23842725063090055,30167,0.95269666,0.99114926906885,0.096120401337793,299,228,30,Daily,28.74,1,28.74,49,1.70494085
2018-03-05,2018-03-05,"EU_ADDCARTLAL_1228 - 49",23842725694480055,3730,7.60589812,0.88471849865952,0.85969696969697,33,22,30,Daily,28.37,,,,
2018-03-05,2018-03-05,US_Survey2%_0109_xin,23842724983090055,2021,14.40870856,1.6823354774864,0.85647058823529,34,25,30,Daily,29.12,,,,
2018-03-05,2018-03-05,"AU_onlineshopping_0226 - 2",23842724296480055,3733,7.65871953,1.1518885614787,0.66488372093023,43,36,30,Daily,28.59,,,,
2018-03-04,2018-03-04,US_Survey2%_0109_xin,23842724983090055,2093,13.97515528,1.4811275680841,0.94354838709677,31,25,30,Daily,29.25,,,,
2018-03-04,2018-03-04,"EU_ADDCARTLAL_1228 - 49",23842725694480055,4252,7.08372531,1.1994355597366,0.59058823529412,51,40,30,Daily,30.12,,,,
2018-03-04,2018-03-04,"AU_onlineshopping_0226 - 2",23842724296480055,3842,7.82404997,1.3274336283186,0.58941176470588,51,43,30,Daily,30.06,1,30.06,49,1.63007319
2018-03-04,2018-03-04,Latin_onlineshopping_0219,23842725063090055,18839,1.5998726,1.0403949254207,0.15377551020408,196,146,30,Daily,30.14,,,,
2018-03-03,2018-03-03,US_Survey2%_0109_xin,23842724983090055,2096,14.42270992,2.0038167938931,0.7197619047619,42,36,30,Daily,30.23,,,,
2018-03-03,2018-03-03,"EU_ADDCARTLAL_1228 - 49",23842725694480055,5131,6.01637108,0.87702202299747,0.686,45,38,30,Daily,30.87,,,,
2018-03-03,2018-03-03,Allbackers_otherEU_0226-local1-2%,23842725063060055,121,8.18181818,,,,,40,Daily,0.99,,,,
2018-03-03,2018-03-03,Latin_onlineshopping_0219,23842725063090055,20146,1.48565472,0.84880373275092,0.17502923976608,171,117,30,Daily,29.93,2,14.965,98,3.27430672
2018-03-03,2018-03-03,"AU_onlineshopping_0226 - 2",23842724296480055,3944,7.82454361,1.2677484787018,0.6172,50,51,30,Daily,30.86,2,15.43,98,3.17563189
2018-03-03,2018-03-03,"AU_onlineshopping_0226 - 2 - Copy",23842724331820055,13,15.38461538,,,,,30,Daily,0.2,,,,
2018-03-03,2018-03-03,"AU_onlineshopping_0226 - 2 - Copy",23842724331840055,5,6,,,,,30,Daily,0.03,,,,
2018-03-02,2018-03-02,"AU_onlineshopping_0226 - 2 - Copy",23842724331820055,2934,11.76209952,0.95432856169052,1.2325,28,26,30,Daily,34.51,,,,
2018-03-02,2018-03-02,Latin_onlineshopping_0219,23842725063090055,21520,1.3982342,1.0130111524164,0.13802752293578,218,157,30,Daily,30.09,2,15.045,178,5.91558657
2018-03-02,2018-03-02,"AU_onlineshopping_0226 - 2 - Copy",23842724331840055,4053,8.50481125,0.78953861337281,1.0771875,32,28,30,Daily,34.47,,,,
2018-03-02,2018-03-02,"EU_ADDCARTLAL_1228 - 49",23842725694480055,4423,6.87316301,0.88175446529505,0.77948717948718,39,28,30,Daily,30.4,1,30.4,129,4.24342105
2018-03-02,2018-03-02,US_Survey2%_0109_xin,23842724983090055,2572,11.84681182,1.7884914463453,0.66239130434783,46,41,30,Daily,30.47,,,,
2018-03-02,2018-03-02,Allbackers_otherEU_0226-local1-2%,23842725063060055,4738,8.070916,0.65428450823132,1.2335483870968,31,24,40,Daily,38.24,,,,
2018-03-02,2018-03-02,"AU_onlineshopping_0226 - 2",23842724296480055,3897,7.5570952,0.89812676417757,0.84142857142857,35,26,30,Daily,29.45,,,,
2018-03-01,2018-03-01,EU_ERLclicks1%_IDKS_0207,23842712267350055,5470,8.06398537,0.71297989031079,1.1310256410256,39,31,60,Daily,44.11,,,,
2018-03-01,2018-03-01,OtherEU_ERLPurchase_60_0207,23842712267900055,2189,9.99086341,1.1420740063956,0.8748,25,22,30,Daily,21.87,,,,
2018-03-01,2018-03-01,Allbackers_otherEU_0226-local1-2%,23842725063060055,4240,9.37028302,0.58962264150943,1.5892,25,18,40,Daily,39.73,,,,
2018-03-01,2018-03-01,"AU_onlineshopping_0226 - 2 - Copy",23842724331840055,3450,10.03188406,1.1884057971014,0.84414634146341,41,33,30,Daily,34.61,1,34.61,49,1.41577579
2018-03-01,2018-03-01,"AU_onlineshopping_0226 - 2 - Copy",23842724331820055,2938,11.9264806,1.0891763104152,1.095,32,25,30,Daily,35.04,,,,
2018-03-01,2018-03-01,Latin_onlineshopping_0219,23842725063090055,20948,1.44548406,0.92610273057094,0.1560824742268,194,132,30,Daily,30.28,,,,
2018-03-01,2018-03-01,"OtherEU_ADDCARTLAL_1229_001  3 - 49",23842725694470055,1942,10.5046344,0.30895983522142,3.4,6,4,30,Daily,20.4,,,,
2018-03-01,2018-03-01,Thailand_ERLPurchase_0101_006,23842724982500055,7998,2.46436609,0.32508127031758,0.75807692307692,26,17,30,Daily,19.71,,,,
2018-03-01,2018-03-01,"OtherEU_ERLPurchase_60_0207 - 49",23842725694450055,2185,9.42334096,0.45766590389016,2.059,10,8,30,Daily,20.59,,,,
2018-03-01,2018-03-01,"US_Survey2%_0109_xin - 49",23842725694440055,2350,12.01702128,1.063829787234,1.1296,25,25,30,Daily,28.24,1,28.24,49,1.73512748
2018-03-01,2018-03-01,"EU_ADDCARTLAL_1228 - 49",23842725694480055,4609,6.79973964,0.75938381427642,0.89542857142857,35,25,30,Daily,31.34,1,31.34,49,1.56349713
2018-03-01,2018-03-01,US_Survey2%_0109_xin,23842724983090055,2402,12.85595337,0.99916736053289,1.2866666666667,24,24,30,Daily,30.88,1,30.88,49,1.58678756
2018-03-01,2018-03-01,"OtherEU_ERLLAL_12231  2 - 49",23842725694460055,2627,8.40502474,0.60905976398934,1.38,16,17,30,Daily,22.08,,,,
2018-03-01,2018-03-01,"AU_onlineshopping_0226 - 2",23842724296480055,3704,8.18844492,1.2149028077754,0.674,45,36,30,Daily,30.33,3,10.11,147,4.84668645
2018-03-01,2018-03-01,"OtherEU_ADDCARTLAL_1229_001  3",23842724982700055,2516,7.86963434,0.7154213036566,1.1,18,18,30,Daily,19.8,,,,
2018-02-28,2018-02-28,EU_ERLclicks1%_IDKS_0207,23842712267350055,7579,8.08681884,0.87082728592163,0.92863636363636,66,50,60,Daily,61.29,1,61.29,64,1.04421602
2018-02-28,2018-02-28,OtherEU_ERLPurchase_60_0207,23842712267900055,3740,8.20855615,1.0695187165775,0.7675,40,32,30,Daily,30.7,,,,
2018-02-28,2018-02-28,US_Surveyemail_1231_002,23842724983170055,1881,16.60818713,0.79744816586922,2.0826666666667,15,14,60,Daily,31.24,,,,
2018-02-28,2018-02-28,"Allbackers_otherEU2_0226-local1-2% - Copy",23842725063400055,7901,2.85786609,0.34172889507657,0.8362962962963,27,19,40,Daily,22.58,,,,
2018-02-28,2018-02-28,"erlpurchase5%_UK_0224_android - Copy",23842725063460055,2305,8.46420824,1.1279826464208,0.75038461538462,26,25,40,Daily,19.51,,,,
2018-02-28,2018-02-28,"Asia_ADDCARTLAL_1230_0208 exJP",23842724982970055,1963,7.2134488,0.81507896077433,0.885,16,11,30,Daily,14.16,,,,
2018-02-28,2018-02-28,EU_ADDCARTLAL_1221,23842724983210055,1828,8.61597374,1.2035010940919,0.71590909090909,22,15,30,Daily,15.75,,,,
2018-02-28,2018-02-28,Asia_IDKS_0130-0224,23842725063180055,4359,4.14085799,0.59646707960541,0.69423076923077,26,22,40,Daily,18.05,,,,
2018-02-28,2018-02-28,US_ERLPurchase_0101_006,23842724982370055,2441,12.92912741,0.65546907005326,1.9725,16,17,60,Daily,31.56,,,,
2018-02-28,2018-02-28,AllBackers3%_AUS_0224,23842724317320055,1410,18.73758865,0.63829787234043,2.9355555555556,9,6,40,Daily,26.42,,,,
2018-02-28,2018-02-28,Asia_ADDCARTLAL_1231_003,23842724982780055,1832,7.76200873,0.43668122270742,1.7775,8,6,30,Daily,14.22,,,,
2018-02-28,2018-02-28,US_Survey2%_0109_xin,23842724983090055,3570,8.87114846,1.0924369747899,0.81205128205128,39,37,30,Daily,31.67,2,15.835,98,3.09441111
2018-02-28,2018-02-28,"US_Surveyemail_1231_002  3",23842724983190055,2208,14.18931159,1.0416666666667,1.3621739130435,23,23,60,Daily,31.33,,,,
2018-02-28,2018-02-28,TW_onlineshopping_0226,23842725063360055,5336,2.99850075,1.3868065967016,0.21621621621622,74,57,30,Daily,16,,,,
2018-02-28,2018-02-28,Allbackers_SEA_0226-WW1%,23842725063290055,10265,1.5645397,0.39941548952752,0.39170731707317,41,18,30,Daily,16.06,,,,
2018-02-28,2018-02-28,"OtherEU_ERLLAL_12231  2 - 49",23842725694460055,1782,8.99551066,0.28058361391695,3.206,5,3,30,Daily,16.03,,,,
2018-02-28,2018-02-28,CA_Survey3%_0109,23842724983070055,2478,9.6125908,0.56497175141243,1.7014285714286,14,10,30,Daily,23.82,,,,
2018-02-28,2018-02-28,Topcities_ADDCARTLAL_1229_012,23842724982680055,2097,15.0691464,0.81068192656175,1.8588235294118,17,16,60,Daily,31.6,,,,
2018-02-28,2018-02-28,"US_Survey2%_0109_xin - 49",23842725694440055,1077,13.14763231,1.5784586815227,0.83294117647059,17,17,30,Daily,14.16,,,,
2018-02-28,2018-02-28,Asia_ADDCARTLAL_12301,23842724982410055,2084,6.79942418,0.81573896353167,0.83352941176471,17,15,30,Daily,14.17,,,,
